Question,Answer,QuestionAnswer
When Akshaya was inaugurated?,"November 18, 2002.","When Akshaya was inaugurated?November 18, 2002."
Who inaugurated Akshaya?,Dr. APJ Abdul Kalam,Who inaugurated Akshaya?Dr. APJ Abdul Kalam
What are the services offered through Akshaya Banking Kiosk?,"Customer Account creation of special Tiny Account,  Transactions - Withdrawal , Deposit and Balance Enquiry of kiosk customers, Micro ATM transaction -Withdrawal through ATM Card using card swiping, Transactions for walk through customers - IMPS (Immediate Payment System) - IMPS is used to transfer money to customer’s account in other bank. Aadhaar Enabled Payment System off us - Deposit /Withdrawal/balance Enquiry of Account holders of other Bank, Aadhaar Enabled Payment System on us - Deposit /Withdrawal/balance Enquiry  of Account holders of Own Bank, Recurring Deposit Account creation of kiosk customers, Loan Repayment","What are the services offered through Akshaya Banking Kiosk?Customer Account creation of special Tiny Account,  Transactions - Withdrawal , Deposit and Balance Enquiry of kiosk customers, Micro ATM transaction -Withdrawal through ATM Card using card swiping, Transactions for walk through customers - IMPS (Immediate Payment System) - IMPS is used to transfer money to customer’s account in other bank. Aadhaar Enabled Payment System off us - Deposit /Withdrawal/balance Enquiry of Account holders of other Bank, Aadhaar Enabled Payment System on us - Deposit /Withdrawal/balance Enquiry  of Account holders of Own Bank, Recurring Deposit Account creation of kiosk customers, Loan Repayment"
What are the requirements for caste conversion certificate?,"To secure a caste conversion certificate via an Akshaya Centre, applicants are typically required to complete an application form, furnish proof of identity (such as Aadhaar card, passport, or voter ID), substantiate their residential address (via utility bills, rental agreements, or voter ID), present evidence of their current caste or community affiliation (which may include family members' caste certificates or community certificates), submit an affidavit articulating the reason for seeking the conversion certificate and affirming the veracity of the provided information, and supply any supplementary documentation mandated by state or local authorities.","What are the requirements for caste conversion certificate?To secure a caste conversion certificate via an Akshaya Centre, applicants are typically required to complete an application form, furnish proof of identity (such as Aadhaar card, passport, or voter ID), substantiate their residential address (via utility bills, rental agreements, or voter ID), present evidence of their current caste or community affiliation (which may include family members' caste certificates or community certificates), submit an affidavit articulating the reason for seeking the conversion certificate and affirming the veracity of the provided information, and supply any supplementary documentation mandated by state or local authorities."
What is the procedure for obtaining caste conversion certificate?,"To obtain a caste conversion certificate through an Akshaya Centre, visit the nearest center, fill out the application form accurately, gather necessary documents including proof of identity, address, and current caste affiliation, submit the application and documents, undergo a verification process by authorities, potentially submit an affidavit, follow up for approval, collect the certificate once ready, and comply with any renewal or additional requirements as per regulations.","What is the procedure for obtaining caste conversion certificate?To obtain a caste conversion certificate through an Akshaya Centre, visit the nearest center, fill out the application form accurately, gather necessary documents including proof of identity, address, and current caste affiliation, submit the application and documents, undergo a verification process by authorities, potentially submit an affidavit, follow up for approval, collect the certificate once ready, and comply with any renewal or additional requirements as per regulations."
What is the duration for obtaining or issuing the caste conversion certificate?,7 days from the date of application.,What is the duration for obtaining or issuing the caste conversion certificate?7 days from the date of application.
What is the fee for caste conversion certificate?,Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing.SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing.BPL families need to pay Rs 20,What is the fee for caste conversion certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing.SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing.BPL families need to pay Rs 20
What are the requirements for jeevan pramaan life certificate?,"To acquire a life certificate through an Akshaya Centre, individuals usually must complete an application form, furnish proof of identity (such as Aadhaar card, passport, or voter ID), evidence of address (like utility bills or rental agreements), recent passport-sized photographs, and pertinent bank account details if the certificate is related to pension benefits, alongside potentially required documents such as a health certificate, witnesses for verification, and an affidavit attesting to the accuracy of the provided information, adhering to the specific guidelines outlined by local authorities.","What are the requirements for jeevan pramaan life certificate?To acquire a life certificate through an Akshaya Centre, individuals usually must complete an application form, furnish proof of identity (such as Aadhaar card, passport, or voter ID), evidence of address (like utility bills or rental agreements), recent passport-sized photographs, and pertinent bank account details if the certificate is related to pension benefits, alongside potentially required documents such as a health certificate, witnesses for verification, and an affidavit attesting to the accuracy of the provided information, adhering to the specific guidelines outlined by local authorities."
What is the procedure for obtaining jeevan Pramaan life certificate?,"To secure a life certificate through an Akshaya Centre, individuals are generally required to visit the center, complete an application form accurately, gather essential documents including proof of identity, address, and recent photographs, furnish bank account details if the certificate pertains to pension benefits, potentially submit additional documents such as a health certificate or affidavit, undergo a verification process by authorities, follow up on the application status, collect the approved certificate, and adhere to any renewal or supplementary requirements as outlined by local regulations.","What is the procedure for obtaining jeevan Pramaan life certificate?To secure a life certificate through an Akshaya Centre, individuals are generally required to visit the center, complete an application form accurately, gather essential documents including proof of identity, address, and recent photographs, furnish bank account details if the certificate pertains to pension benefits, potentially submit additional documents such as a health certificate or affidavit, undergo a verification process by authorities, follow up on the application status, collect the approved certificate, and adhere to any renewal or supplementary requirements as outlined by local regulations."
What is fee for jeevan pramaan life certificate?,Fee is Rs 30/-,What is fee for jeevan pramaan life certificate?Fee is Rs 30/-
What are the requirements for identification certificate?,"To obtain an identification certificate through an Akshaya Centre, individuals are typically required to initiate the process by visiting the center, where they fill out an application form accurately, providing comprehensive details, and then gather essential documents, including proof of identity (such as Aadhaar card, passport, or driver's license), proof of address (such as utility bills or rental agreements), and recent passport-sized photographs, alongside potential inclusion of biometric data like fingerprints or iris scans, as stipulated by local requirements, while also arranging for witnesses to corroborate their identity if necessary,possibly accompanied by submission of an affidavit affirming the veracity of the details furnished,","What are the requirements for identification certificate?To obtain an identification certificate through an Akshaya Centre, individuals are typically required to initiate the process by visiting the center, where they fill out an application form accurately, providing comprehensive details, and then gather essential documents, including proof of identity (such as Aadhaar card, passport, or driver's license), proof of address (such as utility bills or rental agreements), and recent passport-sized photographs, alongside potential inclusion of biometric data like fingerprints or iris scans, as stipulated by local requirements, while also arranging for witnesses to corroborate their identity if necessary,possibly accompanied by submission of an affidavit affirming the veracity of the details furnished,"
